voltage,capacity,SoC
3.4052,11.2,0.516700498
3.4055,11.2,0.516700498
3.4058,11.3,0.521313896
3.4061,11.3,0.521313896
3.4064,11.3,0.521313896
3.4064,11.4,0.525927293
3.4068,11.4,0.525927293
3.4071,11.4,0.525927293
3.4074,11.5,0.53054069
3.4077,11.5,0.53054069
3.408,11.5,0.53054069
3.408,11.6,0.535154087
3.4086,11.6,0.535154087
3.4089,11.7,0.539767485
3.4092,11.7,0.539767485
3.4095,11.7,0.539767485
3.4095,11.8,0.544380882
3.4099,11.8,0.544380882
3.4102,11.8,0.544380882
3.4105,11.9,0.548994279
3.4105,11.9,0.548994279
3.4108,11.9,0.548994279
3.4111,12,0.553607677
3.4114,12,0.553607677
3.4117,12.1,0.558221074
3.4117,12.1,0.558221074
3.412,12.1,0.558221074
3.4123,12.2,0.562834471
3.4126,12.2,0.562834471
3.413,12.2,0.562834471
3.4133,12.3,0.567447869
3.4133,12.3,0.567447869
3.4136,12.3,0.567447869
3.4139,12.4,0.572061266
3.4142,12.4,0.572061266
3.4145,12.4,0.572061266
3.4145,12.5,0.576674663
3.4148,12.5,0.576674663
3.4151,12.6,0.581288061
3.4157,12.6,0.581288061
3.4157,12.6,0.581288061
3.4161,12.7,0.585901458
3.4164,12.7,0.585901458
3.4167,12.7,0.585901458
3.4167,12.8,0.590514855
3.417,12.8,0.590514855
3.4173,12.8,0.590514855
3.4176,12.9,0.595128252
3.4179,12.9,0.595128252
3.4179,13,0.59974165
3.4182,13,0.59974165
3.4185,13,0.59974165
3.4188,13.1,0.604355047
3.4188,13.1,0.604355047
3.4192,13.1,0.604355047
3.4195,13.2,0.608968444
3.4198,13.2,0.608968444
3.4201,13.2,0.608968444
3.4201,13.3,0.613581842
3.4204,13.3,0.613581842
3.4207,13.4,0.618195239
3.421,13.4,0.618195239
3.4213,13.4,0.618195239
3.4213,13.5,0.622808636
3.4216,13.5,0.622808636
3.4219,13.5,0.622808636
3.4219,13.6,0.627422034
3.4223,13.6,0.627422034
3.4229,13.6,0.627422034
3.4232,13.7,0.632035431
3.4232,13.7,0.632035431
3.4235,13.7,0.632035431
3.4238,13.8,0.636648828
3.4241,13.8,0.636648828
3.4241,13.9,0.641262226
3.4244,13.9,0.641262226
3.4247,13.9,0.641262226
3.425,14,0.645875623
3.425,14,0.645875623
3.4254,14,0.645875623
3.4257,14.1,0.65048902
3.4257,14.1,0.65048902
3.426,14.1,0.65048902
3.4263,14.2,0.655102417
3.4266,14.2,0.655102417
3.4266,14.3,0.659715815
3.4269,14.3,0.659715815
3.4272,14.3,0.659715815
3.4275,14.4,0.664329212
3.4275,14.4,0.664329212
3.4278,14.4,0.664329212
3.4281,14.5,0.668942609
3.4281,14.5,0.668942609
3.4285,14.5,0.668942609
3.4288,14.6,0.673556007
3.4291,14.6,0.673556007
3.4291,14.6,0.673556007
3.4294,14.7,0.678169404
3.43,14.7,0.678169404
3.43,14.8,0.682782801
3.4303,14.8,0.682782801
3.4306,14.8,0.682782801
3.4309,14.9,0.687396199
3.4309,14.9,0.687396199
3.4312,14.9,0.687396199
3.4316,15,0.692009596
3.4319,15,0.692009596
3.4319,15,0.692009596
3.4322,15.1,0.696622993
3.4325,15.1,0.696622993
3.4325,15.2,0.70123639
3.4328,15.2,0.70123639
3.4331,15.2,0.70123639
3.4331,15.3,0.705849788
3.4334,15.3,0.705849788
3.4337,15.3,0.705849788
3.434,15.4,0.710463185
3.434,15.4,0.710463185
3.4343,15.4,0.710463185
3.4343,15.5,0.715076582
3.4347,15.5,0.715076582
3.435,15.6,0.71968998
3.4353,15.6,0.71968998
3.4353,15.6,0.71968998
3.4356,15.7,0.724303377
3.4359,15.7,0.724303377
3.4362,15.7,0.724303377
